feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	sType
K01502	Trt	AT	-2.79050569158178	0.456756186891776	24	23	1.15681181791387e-05	0.0012313528611104	FR
K18532	Trt	AT	-2.64008893416787	0.441694762745867	24	24	1.18095936268155e-05	0.0012482657878973	FR
K16306	Trt	AT	-6.15733283782597	1.03098033021863	24	23	1.19281815749364e-05	0.0012520448923969	FR
K14156	Trt	AT	-3.45244235690302	0.567002504961903	24	24	1.20408304972006e-05	0.0012551527790702	FR
K14083	Trt	AT	-3.21788166737244	0.530402029126257	24	24	1.25725757960613e-05	0.0013016060490237	FR
K13506	Trt	FV1	3.78161934017233	0.630046518472812	24	16	1.42796637619696e-05	0.0014682797126678	FR
K07151	Trt	AT	-2.18323274548771	0.372447277066935	24	24	1.4973586491807e-05	0.0015292281069166	FR
K04480	Trt	AT	-3.82573334401626	0.660243786766326	24	24	1.72165219775975e-05	0.0017464948301435	FR
K11481	Trt	FV1	3.22181937589625	0.545713569376362	24	7	1.73409614960226e-05	0.0017473908867492	FR
K22026	Trt	AT	-4.55195080870693	0.790735246914186	24	23	1.86231498971859e-05	0.0018641649714964	FR
K00228	Trt	AT	3.84007859797119	0.657881977426917	24	9	1.98044084501914e-05	0.0019693660113463	FR
K11869	Trt	FV1	3.22134581424684	0.553397568555691	24	8	2.04460565487155e-05	0.0020198832989139	FR
K10815	Trt	AT	-2.03902203318546	0.350799442097686	24	24	2.0797005416904e-05	0.0020412125771201	FR
K14128	Trt	AT	-4.13964544090231	0.730723857588686	24	24	2.2535574639649e-05	0.0021975820043761	FR
K02694	Trt	AN2	3.58574858356926	0.622401988391832	24	16	2.30447547428017e-05	0.0022328299226759	FR
K01724	Trt	AT	-4.13004030493272	0.730928735258801	24	23	2.32404692464468e-05	0.00223745027172	FR
K02700	Trt	FV1	4.38519660436547	0.766752939649874	24	15	2.50671934815407e-05	0.0023980419586929	FR
K08903	Trt	AN2	3.95030735483851	0.704323862906672	24	15	2.53642475814206e-05	0.0024111987559319	FR
K02636	Trt	FV1	1.75372770376432	0.3139980202253	24	24	2.66462455680323e-05	0.002517237511005	FR
K00164	Trt	AN2	3.97540856292822	0.701447376417206	24	24	2.78152107674177e-05	0.0026113472717361	FR
K19664	Trt	AT	-1.86596974082362	0.330689697009622	24	24	2.92393168690871e-05	0.0027281004597299	FR
K02723	Trt	FV2	4.52928896752966	0.809638343329569	24	16	3.22454253640507e-05	0.0029901202722553	FR
K00164	Trt	AN1	3.91147681637492	0.701447376417206	24	24	3.34364057353567e-05	0.0030816541017677	FR
K19222	Trt	AT	0.992779503983192	0.178750277296321	24	24	3.49815768813077e-05	0.0032045244518846	FR
K22481	Trt	AT	-3.85161838245562	0.694949880808025	24	19	3.58222661296529e-05	0.0032617683888536	FR
K04038	Trt	AN1	1.71575689769419	0.311251598567503	24	16	3.80617848235268e-05	0.0034449333988479	FR
K07262	Trt	AT	5.5561200907674	1.03280492604414	24	19	4.11286505596651e-05	0.0037003544833889	FR
K02568	Trt	AT	4.77155484504187	0.889223776235948	24	13	4.23402024369168e-05	0.0037868175138106	FR
K06863	Trt	AT	-4.5218058556916	0.845601382545368	24	24	4.40422960412741e-05	0.0039158782627285	FR
K02718	Trt	AN2	2.74576545029233	0.513250115694037	24	18	5.30686455508172e-05	0.0046908337865532	FR
K11853	Trt	FV1	3.67854992556666	0.69364582262708	24	12	5.83977598782556e-05	0.0051318729102315	FR
K01659	Trt	AT	3.75499981527207	0.710236008619867	24	11	6.03833272142384e-05	0.0052756878083422	FR
K14081	Trt	AT	-3.54584659908803	0.684537989760618	24	23	6.30005293832308e-05	0.0054727184001582	FR
K22482	Trt	AT	-4.35099759877393	0.827841371367959	24	20	6.4387961534522e-05	0.0055612802205388	FR
K02274	Trt	AT	3.36671308972555	0.641443426017023	24	9	6.53498491347801e-05	0.0055805817495604	FR
K14126	Trt	AT	-4.34435410141707	0.841359112392856	24	23	6.52604334135188e-05	0.0055805817495604	FR
K02639	Trt	FV2	2.36872974478587	0.452784142104631	24	24	6.7710032643179e-05	0.0057496468730429	FR
K02720	Trt	AN2	2.93680147000414	0.561944614461353	24	16	6.8461045162241e-05	0.0057809424448451	FR
K03852	Trt	AT	0.83361217372742	0.160057006892852	24	3	7.10461869740308e-05	0.0059659062006248	FR
K11855	Trt	FV1	4.3788859862393	0.842465683576489	24	19	7.26099753222735e-05	0.0060635346795368	FR
K02699	Trt	FV2	2.85683195124499	0.550183270663151	24	16	7.33950216374139e-05	0.0060954162200522	FR
K15849	Trt	AN2	3.04855675983102	0.597113610270745	24	23	7.39316525660045e-05	0.0061064313034708	FR
K10837	Trt	AT	-6.08047410952355	1.17613289115762	24	21	7.6918082916235e-05	0.0063185696917331	FR
K02107	Trt	AT	-1.31887430774806	0.259524437638417	24	24	7.77887308344429e-05	0.0063213799277559	FR
K16182	Trt	AT	-5.24420496754152	1.03187456074432	24	23	7.77345765594037e-05	0.0063213799277559	FR
K15849	Trt	FV1	3.03260667271228	0.597113610270745	24	23	7.83124759983967e-05	0.0063299094904586	FR
K00839	Trt	AT	3.81518596340733	0.740027125951907	24	20	7.9253720540102e-05	0.0063719148189555	FR
K15916	Trt	AT	-3.52211401167574	0.684280019347647	24	23	8.06286200555648e-05	0.0064481565721685	FR
K11840	Trt	FV1	4.17443293455549	0.813872995805226	24	12	8.3715496948458e-05	0.0066597880861891	FR
K18014	Trt	AT	1.20049900347564	0.23507659826464	24	24	8.76808350036101e-05	0.0069387215763328	FR
K18356	Trt	AT	-3.58239116739655	0.702060390119904	24	21	8.84430850280366e-05	0.0069625897406186	FR
K02693	Trt	AN2	3.28020726492778	0.647146748138221	24	17	9.49263332759285e-05	0.007434256618993	FR
K15849	Trt	FV2	2.94916906221129	0.597113610270745	24	23	0.000105953587628	0.0082550952422561	FR
K08859	Trt	AT	-3.54295462346205	0.707656588932697	24	24	0.0001080753291632	0.0083772235912918	FR
K00163	Trt	AT	4.73979175723686	0.962647780894618	24	10	0.0001095409974549	0.0084475111047526	FR
K02722	Trt	FV2	4.38388213691251	0.877511216152522	24	15	0.000110542486356	0.0084814704633074	FR
K00218	Trt	AT	-2.85591622590964	0.572841408369909	24	23	0.0001129485598753	0.0086223105177562	FR
K00836	Trt	AT	-1.24530671217807	0.250397846725642	24	24	0.0001158754154093	0.0087625019688546	FR
K00826	Trt	AT	-0.137037527885716	0.0275561539133564	24	24	0.0001159444521184	0.0087625019688546	FR
K02722	Trt	FV1	4.35701704008699	0.877511216152522	24	15	0.0001178625953094	0.0088631498910564	FR
K02713	Trt	AN1	3.25516067298441	0.656274971996972	24	16	0.0001191399021007	0.0089148496052094	FR
K11855	Trt	AN1	4.16971044237168	0.842465683576489	24	19	0.0001218289620391	0.0090711564592186	FR
K01202	Trt	FV2	2.13266718804124	0.44018036984024	24	24	0.0001299986040604	0.0096320044135976	FR
K00913	Trt	FV1	3.47852743437698	0.707599598037196	24	16	0.0001306939157361	0.0096362855431783	FR
K16180	Trt	AT	-3.67809708388159	0.760705925228342	24	23	0.0001328262267934	0.0097459631940927	FR
K13699	Trt	AT	-2.32290669341142	0.47610568969823	24	24	0.000141263641944	0.0103149755941271	FR
K02694	Trt	AN1	3.02286345483792	0.622401988391832	24	16	0.0001480253990243	0.0107052818481011	FR
K02713	Trt	AN2	3.18881999356033	0.656274971996972	24	16	0.0001473411375095	0.0107052818481011	FR
K02720	Trt	AN1	2.72652004088004	0.561944614461353	24	16	0.0001495406008158	0.0107633627682484	FR
K12237	Trt	AN1	3.79902085237107	0.787663491431412	24	23	0.0001588995156014	0.0113827780962849	FR
K02692	Trt	AN1	2.19260345252053	0.456868881255705	24	16	0.0001671435952024	0.0118609175656538	FR
K03635	Trt	AT	-2.02859566905422	0.428773094641835	24	24	0.0001666791157182	0.0118609175656538	FR
K02700	Trt	FV2	3.66567886480852	0.766752939649874	24	15	0.000173776621773	0.0122678651133578	FR
K22480	Trt	AT	-3.50028396448788	0.732458800720446	24	19	0.0001745015547053	0.0122678651133578	FR
K15849	Trt	AN1	2.81114421651238	0.597113610270745	24	23	0.000175393087135	0.0122734560742878	FR
K04786	Trt	AT	1.77271029482443	0.37145131876794	24	24	0.0001768841463318	0.0122855918216727	FR
K02204	Trt	AT	3.41038205667738	0.714728281037673	24	23	0.000177192128159	0.0122855918216727	FR
K21610	Trt	AT	-2.61085925147526	0.552146521188485	24	23	0.0001940874956385	0.0133955821761511	FR
K13506	Trt	FV2	2.96329809905966	0.630046518472812	24	16	0.0002047671089041	0.014068431141303	FR
K15303	Trt	AT	2.21800001100253	0.473308443843308	24	24	0.0002123521577673	0.014523542373998	FR
K02640	Trt	AN2	2.77818341740179	0.594519709081243	24	16	0.0002183769569124	0.0148683229897854	FR
K15778	Trt	AT	-0.888408573321053	0.190728207241692	24	24	0.0002254522117339	0.0150783636299084	FR
K18473	Trt	AT	3.41661446447497	0.743319976902144	24	10	0.0002240028323171	0.0150783636299084	FR
K01602	Trt	AN1	2.26505863841221	0.486130370380098	24	16	0.0002247906960725	0.0150783636299084	FR
K15471	Trt	AT	-2.17112904441677	0.465630999588199	24	24	0.0002231709102046	0.0150783636299084	FR
K20455	Trt	AT	3.57396078450816	0.768840439517755	24	14	0.0002300392587173	0.015310922513259	FR
K00769	Trt	AT	-4.00837856397833	0.874709083890773	24	24	0.0002309553644077	0.015310922513259	FR
K13831	Trt	AT	-2.22137604084057	0.486066542431056	24	24	0.0002373544498889	0.0156664301749836	FR
K18853	Trt	AT	-3.12112268674786	0.67559167834329	24	21	0.000244509005563	0.0160684939960233	FR
K13622	Trt	AT	-2.38802461601208	0.517496482463556	24	24	0.0002472648357823	0.0161792553803027	FR
K16842	Trt	AT	2.64552614040847	0.574528989726111	24	24	0.0002525252778027	0.0164522395430511	FR
K13317	Trt	AT	3.28221561064388	0.724693357078529	24	23	0.0002597812620097	0.0168523337994713	FR
K15849	Trt	AT	2.6951199604402	0.597113610270745	24	23	0.0002688275131244	0.0173646489781041	FR
K18608	Trt	AT	3.76477226512659	0.824926413977133	24	12	0.000275543013782	0.0177226921417695	FR
K08097	Trt	AT	-2.8216818775403	0.619339730384405	24	19	0.0002801768317699	0.0179443763228909	FR
K13317	Trt	AN2	3.25291440289786	0.724693357078529	24	23	0.0002840054056322	0.0180470886554857	FR
K06034	Trt	AT	-4.50208921601396	0.990044654816999	24	20	0.0002853625000768	0.0180470886554857	FR
K02298	Trt	AT	4.12185762302036	0.918587596385876	24	9	0.0002849520323715	0.0180470886554857	FR
K01202	Trt	FV1	1.97285688282087	0.44018036984024	24	24	0.0002882662032909	0.0181547652614272	FR
K06998	Trt	AT	-0.879150157247052	0.194632476021992	24	24	0.0003044970203824	0.0190973961123655	FR
K21727	Trt	AT	-2.88903918132738	0.641236037737886	24	24	0.0003121108823167	0.0194940330009011	FR
K16396	Trt	AT	3.7490795679431	0.834882946446067	24	17	0.0003222012137026	0.0200075663717154	FR
K08952	Trt	AT	1.82887871538795	0.407549156253425	24	24	0.0003243039206794	0.0200075663717154	FR
K10831	Trt	AT	-3.14925070302401	0.701776620369018	24	20	0.0003242793192306	0.0200075663717154	FR
K02643	Trt	FV1	3.42713828478135	0.764143037651663	24	14	0.0003260859534366	0.0200357283991687	FR
K02696	Trt	FV2	3.73279901141143	0.835257514857428	24	13	0.0003373764736697	0.0205622798367687	FR
K01602	Trt	AN2	2.1734175708076	0.486130370380098	24	16	0.0003360691373711	0.0205622798367687	FR
K17616	Trt	FV2	2.58355540088162	0.578524193305564	24	13	0.000339747295591	0.0206236159552565	FR
K15303	Trt	AN2	2.10938109292669	0.473308443843308	24	24	0.0003464298060244	0.0209451460722411	FR
K16181	Trt	AT	-4.07605688119062	0.927039916928178	24	23	0.0003478778651498	0.0209489001264511	FR
K03638	Trt	AT	-1.57855752756333	0.360875720763398	24	24	0.0003657234559762	0.0218230116785356	FR
