Sample No.	Date of Sampling	Sample Name	Description	Description 2	Microbial DNA
2020-56-431	7/21/2020	Fermenter liquid d13 Trt5-run2-HP2	Fermenter liquid at day 13	Treatment 5 run 2 heat pump 2	132
2020-56-432	7/21/2020	Fermenter liquid d13 Trt6-run2-HP1	Fermenter liquid at day 13	Treatment 6 run 2 heat pump 1	133
2020-56-433	7/21/2020	Fermenter liquid d13 Trt6-run2-HP2	Fermenter liquid at day 13	Treatment 6 run 2 heat pump 2	134
2020-56-434	7/15/2020	Effluent d7 Trt1-run2-HP1	Effluent at day 7	Treatment 1 run 2 heat pump 1	135
2020-56-435	7/15/2020	Effluent d7 Trt1-run2-HP2	Effluent at day 7	Treatment 1 run 2 heat pump 2	136
2020-56-436	7/15/2020	Effluent d7 Trt2-run2-HP1	Effluent at day 7	Treatment 2 run 2 heat pump 1	137
2020-56-437	7/15/2020	Effluent d7 Trt2-run2-HP2	Effluent at day 7	Treatment 2 run 2 heat pump 2	138
2020-56-438	7/15/2020	Effluent d7 Trt3-run2-HP1	Effluent at day 7	Treatment 3 run 2 heat pump 1	139
2020-56-439	7/15/2020	Effluent d7 Trt3-run2-HP2	Effluent at day 7	Treatment 3 run 2 heat pump 2	140
2020-56-440	7/15/2020	Effluent d7 Trt4-run2-HP1	Effluent at day 7	Treatment 4 run 2 heat pump 1	141
2020-56-441	7/15/2020	Effluent d7 Trt4-run2-HP2	Effluent at day 7	Treatment 4 run 2 heat pump 2	142
2020-56-442	7/15/2020	Effluent d7 Trt5-run2-HP1	Effluent at day 7	Treatment 5 run 2 heat pump 1	143
2020-56-443	7/15/2020	Effluent d7 Trt5-run2-HP2	Effluent at day 7	Treatment 5 run 2 heat pump 2	144
2020-56-444	7/15/2020	Effluent d7 Trt6-run2-HP1	Effluent at day 7	Treatment 6 run 2 heat pump 1	145
2020-56-445	7/15/2020	Effluent d7 Trt6-run2-HP2	Effluent at day 7	Treatment 6 run 2 heat pump 2	146
2020-56-446	7/21/2020	Effluent d13 Trt1-run2-HP1	Effluent at day 13	Treatment 1 run 2 heat pump 1	147
2020-56-447	7/21/2020	Effluent d13 Trt1-run2-HP2	Effluent at day 13	Treatment 1 run 2 heat pump 2	148
2020-56-448	7/21/2020	Effluent d13 Trt2-run2-HP1	Effluent at day 13	Treatment 2 run 2 heat pump 1	149
2020-56-449	7/21/2020	Effluent d13 Trt2-run2-HP2	Effluent at day 13	Treatment 2 run 2 heat pump 2	150
2020-56-450	7/21/2020	Effluent d13 Trt3-run2-HP1	Effluent at day 13	Treatment 3 run 2 heat pump 1	151
2020-56-451	7/21/2020	Effluent d13 Trt3-run2-HP2	Effluent at day 13	Treatment 3 run 2 heat pump 2	152
2020-56-452	7/21/2020	Effluent d13 Trt4-run2-HP1	Effluent at day 13	Treatment 4 run 2 heat pump 1	153
2020-56-453	7/21/2020	Effluent d13 Trt4-run2-HP2	Effluent at day 13	Treatment 4 run 2 heat pump 2	154
2020-56-454	7/21/2020	Effluent d13 Trt5-run2-HP1	Effluent at day 13	Treatment 5 run 2 heat pump 1	155
2020-56-455	7/21/2020	Effluent d13 Trt5-run2-HP2	Effluent at day 13	Treatment 5 run 2 heat pump 2	156
2020-56-456	7/21/2020	Effluent d13 Trt6-run2-HP1	Effluent at day 13	Treatment 6 run 2 heat pump 1	157
2020-56-457	7/21/2020	Effluent d13 Trt6-run2-HP2	Effluent at day 13	Treatment 6 run 2 heat pump 2	158
pooled #1-3	6/17/2020	SP d0-mix-run1	Rumen solid phase from day 0 (start)	From cow 1-3 run 1	pooled #1-3
pooled #4-6	6/17/2020	RF d0-mix-run1	Rumen fluid from day 0 (start)	From cow 1-3 run 1	pooled #4-6
pooled #80-82	7/8/2020	SP d0-mix-run2	Rumen solid phase from day 0 (start)	From cow 1-3 run 2	pooled #80-82
pooled #83-85	7/8/2020	RF d0-C1-run2	Rumen fluid from day 0 (start)	From cow 1-3 run 2	pooled #83-85
