	s100	s102	s104	s106	s108	s110	s11	s123	s124	s125	s126	s127	s128	s129	s130	s131	s132	s133	s134	s13	s15	s17	s19	s1	s21	s23	s25	s27	s29	s31	s44	s45	s46	s47	s48	s49	s4	s50	s51	s52	s53	s54	s55	s80	s83	s88	s90	s92	s94	s96	s98	s9
rstcMAG_228 Lentilactobacillus buchneri	5148.235	1715.279	1184.665	2793.593	1155.305	800.32	1013.711	14.873	24.256	21.438	25.136	22.678	25.223	76.465	38.381	26.516	22.434	21.44	27.021	564.678	866.023	707.106	764.964	163.543	952.045	816.887	975.35	558.263	544.777	1210.767	30.261	33.48	20.369	21.787	27.14	21.147	222.059	88.797	87.682	19.064	15.356	21.153	16.242	211.817	523.359	1047.632	489.754	2473.527	2027.523	835.788	1452.503	797.13
rstcMAG_229 Butyrivibrio hungatei	767.091	654.906	2402.12	1205.128	2329.812	2705.593	5665.045	226.083	345.945	264.935	333.347	228.923	320.01	268.006	169.8	295.808	268.563	407.798	367.416	7491.899	6158.119	7640.0	4118.552	6942.271	410.927	1928.992	4507.612	9361.439	7258.621	5410.002	453.639	381.729	444.485	592.026	506.13	348.799	2519.656	264.785	461.632	409.032	918.362	402.902	468.86	5149.212	3783.196	1013.069	2033.45	1981.963	1468.62	2962.17	3518.243	3540.947
rstcMAG_230 Dialister (sp002320515)	367.608	13659.612	440.629	9282.446	435.276	18139.497	16351.538	99.94	4987.977	4385.148	7133.622	4511.582	4075.784	218.227	5892.955	181.888	4156.191	159.065	6404.094	23712.476	15622.678	17683.525	20582.338	540.747	20500.636	27107.597	18139.914	17230.573	20273.191	17640.154	4183.543	916.332	4796.289	3346.695	2402.943	2081.131	267.797	6136.983	7622.332	4987.106	3749.542	2015.546	2198.025	525.422	353.599	175.146	18124.103	7122.47	8114.752	18404.604	14086.012	15754.538
rstcMAG_234 Xenobiaceae	17.673	31.192	48.886	39.318	33.645	30.883	33.154	87.902	32.787	63.665	37.535	71.408	328.813	34.952	799.181	91.205	430.532	65.39	50.135	69.863	43.778	43.34	40.747	244.269	12.13	15.475	29.816	69.894	38.047	58.942	959.619	377.318	797.958	282.865	201.581	406.937	133.464	52.368	37.199	101.652	134.563	363.147	147.599	675.855	302.996	17.301	24.754	45.757	19.261	38.833	41.436	72.344
rstcMAG_237 Christensenellales (RUG563)	74.541	110.154	198.297	137.045	142.304	128.733	172.015	1217.726	963.514	1861.637	1340.35	2407.75	2174.242	819.508	1490.769	2051.091	1833.579	1842.059	1791.719	332.272	186.746	145.476	214.234	12197.706	114.374	100.725	214.145	213.844	324.676	327.938	859.572	1066.351	1535.289	1433.982	1097.966	2225.999	2179.776	621.985	626.667	1335.795	1201.634	7188.449	6209.172	12953.386	3624.442	85.837	129.412	93.177	119.643	150.231	157.753	282.441
rstcMAG_238 Limosilactobacillus mucosae	85518.18	74662.854	61055.878	153821.159	78540.602	60073.799	43122.413	1930.519	4953.234	5539.411	20151.86	14377.337	2143.218	9478.163	5973.487	12211.867	6835.423	5623.656	17649.382	47308.028	72763.829	54268.604	30051.084	68.099	59164.313	28667.09	52618.821	31898.23	40442.596	28137.38	20449.43	8130.718	11614.287	17924.481	12630.608	9587.583	43.791	23498.084	18218.35	7453.978	3788.629	3297.533	3731.08	61.538	58.175	36905.457	66025.051	107487.571	132936.702	44545.279	42635.003	59334.251
rstcMAG_244 Pyramidobacter (sp002007215)	940.07	961.436	2632.738	465.017	1204.995	1073.742	5558.564	12389.168	5671.315	10853.599	5528.695	11656.972	6386.794	15741.952	8155.51	15461.837	6587.778	11939.034	6681.597	7349.505	3968.002	4697.926	6196.974	1304.03	2822.941	4699.527	5705.565	7514.157	5107.679	8677.553	21194.928	17618.401	27915.468	17355.064	18453.416	16300.708	483.966	27607.718	39610.292	30620.878	22827.264	29757.242	25252.651	1282.808	650.349	876.117	887.822	519.569	615.485	1625.481	899.834	6209.083
rstcMAG_245 Bacilli (Tener-01)	14.364	78.089	113.048	97.839	58.87	75.901	21.495	614.758	1287.668	845.158	1129.778	643.412	579.576	49.243	2530.867	1129.18	647.08	513.008	457.872	86.63	100.861	75.546	19.671	616.281	9.443	13.474	71.174	73.746	47.339	32.784	3014.466	174.063	926.167	1196.794	468.558	123.02	942.356	82.286	82.531	1208.317	1347.133	453.16	276.012	1115.934	1539.595	61.689	114.6	61.247	165.925	84.382	133.428	237.927
rstcMAG_253 Christensenellales CAG-1782)	129.646	50.585	75.059	36.714	47.904	50.395	540.987	294.657	92.468	185.109	222.928	114.775	212.508	364.704	234.281	170.926	156.049	109.068	302.851	1455.076	1020.259	1566.133	1146.097	374.699	88.452	57.644	851.283	992.237	471.844	487.21	5716.837	4446.589	7059.281	3350.85	3519.701	4062.83	635.081	198.914	409.615	7610.489	7423.698	4732.117	4683.673	531.704	985.787	79.211	59.741	44.158	79.912	48.318	64.192	1378.224
rstcMAG_255 Borkfalkiaceae (UBA1259)	17.464	43.019	41.412	30.904	61.328	49.11	30.509	611.443	679.395	348.552	411.505	329.324	1045.847	203.191	736.143	605.258	473.324	1102.307	1355.371	25.643	33.253	59.724	26.367	366.654	14.363	14.566	46.601	34.259	33.048	35.3	670.893	826.79	520.256	1948.661	1867.346	1450.98	412.464	49.193	49.322	1711.76	936.927	420.484	717.479	429.889	1144.855	34.162	43.588	28.599	34.907	28.644	74.55	61.739
rstcMAG_268 Bacilli (CALVRE01)	73.085	67.637	65.008	107.544	74.972	70.275	50.542	122.821	149.82	95.992	216.861	139.337	132.373	151.123	197.322	107.645	139.658	120.61	131.856	45.401	77.347	50.695	36.304	1578.185	78.928	62.728	56.7	104.245	47.866	40.043	339.848	2219.63	187.09	1299.395	191.452	809.09	1683.543	1740.946	428.118	417.139	781.519	118.031	97.913	1800.527	2540.131	94.984	87.135	88.458	95.862	56.548	116.207	58.04
rstcMAG_276 Prevotella (sp902792635)	602.087	762.531	655.135	501.28	758.495	786.749	2087.754	302.185	303.464	254.913	422.651	290.887	291.126	584.024	382.999	304.143	309.857	339.902	378.317	4995.513	3032.433	4179.374	2437.74	2330.906	13730.809	30176.138	3198.129	2472.368	2044.271	3567.442	733.778	494.281	567.811	467.773	997.462	567.459	3831.969	3133.48	10456.802	407.174	626.88	439.32	759.52	2086.843	3702.451	595.844	684.496	539.551	1001.428	716.034	766.615	6720.635
rstcMAG_280 Lachnospiraceae (CAG-791 sp900317475)	364.11	939.733	463.544	172.998	571.923	580.705	2262.409	187.545	272.433	268.777	298.24	263.882	240.015	432.367	357.398	217.309	289.317	322.872	317.373	2087.516	951.018	885.471	2809.977	1883.979	2302.907	1640.921	1111.745	810.239	1862.347	2529.586	274.456	177.762	321.988	168.595	232.306	233.984	528.572	659.964	615.211	190.51	145.059	197.305	215.671	1769.304	738.891	174.376	552.907	168.451	232.822	563.213	448.384	2900.256
rstcMAG_284 Anaerovoracaceae (UBA3871 sp002392265)	183.378	145.736	695.515	467.902	281.492	358.529	142.465	6539.69	4646.178	8845.063	5188.908	12132.132	8073.265	562.973	1505.703	6486.231	4774.041	4893.23	3551.959	206.713	213.804	183.617	171.536	2656.408	72.372	98.571	153.715	276.335	176.986	322.826	247.961	300.766	404.454	274.464	338.706	266.144	1057.586	232.341	254.215	261.792	1362.822	326.201	585.695	2797.271	1433.682	430.099	365.11	397.089	561.199	1001.37	855.8	144.238
