#OTU ID	s1	s80	s4	s83	s123	s124	s125	s126	s127	s128	s129	s130	s131	s132	s133	s134	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s100	s102	s104	s106	s108	s110	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	s88	s90	s92	s94	s96	s98	s9
Glycosaminoglycan biosynthesis - keratan sulfate	0.0	0.0	0.0	0.0	10.0	18.0	9.0	10.0	42.0	12.0	2.0	40.0	9.0	15.0	8.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glycosaminoglycan degradation	18988.0	16916.0	22586.0	23369.0	25462.0	22724.0	21562.0	26720.0	20371.0	22494.0	16881.0	26706.0	22207.0	30869.0	30695.0	22103.0	14531.0	18542.0	12413.0	34608.0	10505.0	37319.0	24379.0	23460.0	13143.0	40004.0	21360.0	39080.0	4405.0	5732.0	6827.0	5302.0	5210.0	5578.0	6252.0	6040.0	6502.0	5575.0	6066.0	8071.0	9806.0	5406.0	7365.0	5156.0	6403.0	5362.0	5078.0	4876.0	6879.0	6265.0	6075.0	4631.0
Glycosphingolipid biosynthesis - ganglio series	6.0	8.0	0.0	0.0	273.0	70.0	137.0	35.0	141.0	118.0	0.0	110.0	36.0	63.0	90.0	50.0	2.0	3.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	6.0	2.0	0.0	3.0	0.0	7.0	0.0
Glycosphingolipid biosynthesis - globo and isoglobo series	148.0	165.0	231.0	199.0	30.0	39.0	19.0	32.0	28.0	20.0	21.0	57.0	12.0	20.0	21.0	4.0	22.0	63.0	13.0	23.0	40.0	38.0	4.0	0.0	13.0	8.0	8.0	13.0	1.0	3.0	3.0	0.0	5.0	1.0	4.0	2.0	0.0	0.0	4.0	1.0	2.0	3.0	3.0	1.0	6.0	4.0	2.0	7.0	5.0	5.0	4.0	1.0
Glycosphingolipid biosynthesis - lacto and neolacto series	404.0	505.0	335.0	230.0	646.0	502.0	759.0	1218.0	997.0	512.0	1148.0	733.0	970.0	1118.0	699.0	1217.0	1635.0	1242.0	1592.0	1484.0	1397.0	1610.0	2422.0	2492.0	1813.0	1339.0	1434.0	1757.0	745.0	1253.0	1369.0	2939.0	855.0	2114.0	1281.0	1128.0	2024.0	1508.0	1018.0	1105.0	816.0	1007.0	1003.0	808.0	793.0	657.0	936.0	1081.0	4275.0	1978.0	782.0	1513.0
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	2006.0	1644.0	7898.0	8455.0	2381.0	2503.0	3989.0	2293.0	3584.0	3660.0	5143.0	2206.0	3802.0	2982.0	2369.0	2069.0	1086.0	1409.0	1024.0	769.0	992.0	934.0	1941.0	1927.0	826.0	1183.0	1340.0	1125.0	134.0	149.0	994.0	3716.0	829.0	498.0	395.0	736.0	663.0	912.0	660.0	517.0	505.0	678.0	600.0	675.0	630.0	177.0	128.0	733.0	677.0	269.0	777.0	614.0
Glycosyltransferases	121121.0	114204.0	282480.0	197426.0	255824.0	266219.0	216611.0	266462.0	226305.0	228977.0	208769.0	241715.0	202495.0	224593.0	234275.0	227219.0	206686.0	184213.0	169248.0	183589.0	206185.0	198735.0	228010.0	210334.0	197612.0	191788.0	188108.0	194617.0	282912.0	236720.0	206759.0	336732.0	228048.0	213858.0	210963.0	191365.0	215655.0	200755.0	193127.0	255983.0	227888.0	194539.0	197113.0	204495.0	196528.0	437781.0	221023.0	311825.0	282350.0	213472.0	213938.0	225331.0
Glyoxylate and dicarboxylate metabolism	433624.0	446818.0	525063.0	505831.0	404915.0	415780.0	394477.0	406956.0	396647.0	383886.0	370291.0	406342.0	391946.0	411250.0	407126.0	384155.0	414178.0	402422.0	398436.0	437235.0	402324.0	454344.0	374395.0	361769.0	416806.0	443384.0	432456.0	445312.0	337681.0	327499.0	335296.0	410982.0	342262.0	326950.0	344552.0	348528.0	333403.0	349032.0	365142.0	358592.0	335266.0	363276.0	342094.0	357385.0	356677.0	499307.0	338316.0	392813.0	369907.0	337507.0	330919.0	349982.0
Histidine metabolism	220686.0	227241.0	222815.0	211301.0	209114.0	207687.0	204665.0	208422.0	202558.0	201868.0	207088.0	203797.0	206646.0	217905.0	210653.0	195804.0	205827.0	210574.0	196109.0	244491.0	198690.0	253090.0	200278.0	190228.0	193363.0	247405.0	227170.0	249927.0	149441.0	151678.0	160403.0	169407.0	159639.0	163965.0	187133.0	198043.0	181680.0	185173.0	202578.0	180135.0	172686.0	200604.0	184484.0	193256.0	200278.0	150027.0	159574.0	153307.0	165097.0	174294.0	160746.0	180686.0
Indole alkaloid biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	237.0	402.0	377.0	1282.0	233.0	75.0	58.0	37.0	78.0	66.0	34.0	105.0	56.0	111.0	30.0	73.0	58.0	847.0	48.0	3835.0	476.0	32.0	203.0	114.0
Inositol phosphate metabolism	60272.0	59984.0	119239.0	120042.0	57651.0	55405.0	61555.0	58602.0	59682.0	60327.0	59623.0	60656.0	58553.0	54032.0	55612.0	60749.0	63509.0	71217.0	56680.0	59524.0	66528.0	60452.0	69452.0	69408.0	56976.0	60875.0	65189.0	65171.0	61948.0	52334.0	47960.0	82368.0	48916.0	42435.0	48192.0	42817.0	51696.0	50061.0	44265.0	55312.0	49459.0	47843.0	47123.0	46460.0	46026.0	104874.0	47523.0	75921.0	70524.0	41083.0	48437.0	50281.0
Insect hormone biosynthesis	71.0	65.0	28.0	48.0	4.0	2.0	5.0	0.0	9.0	3.0	0.0	7.0	3.0	0.0	12.0	1.0	19.0	12.0	24.0	17.0	34.0	11.0	0.0	0.0	5.0	27.0	5.0	17.0	1.0	2.0	3.0	7.0	1.0	2.0	2.0	0.0	0.0	5.0	0.0	3.0	1.0	2.0	1.0	1.0	0.0	9.0	0.0	4.0	0.0	3.0	0.0	1.0
Isoflavonoid biosynthesis	2565.0	2136.0	4322.0	4108.0	1572.0	1691.0	1138.0	1537.0	1385.0	1383.0	2662.0	1940.0	1600.0	1473.0	1089.0	1766.0	1457.0	1462.0	1554.0	1260.0	1709.0	1912.0	3309.0	2181.0	1716.0	1381.0	1989.0	2146.0	820.0	1049.0	1788.0	1383.0	1462.0	1785.0	506.0	712.0	603.0	710.0	642.0	595.0	878.0	666.0	801.0	688.0	659.0	1098.0	1618.0	1066.0	1494.0	1656.0	1840.0	760.0
Limonene and pinene degradation	5115.0	4977.0	3793.0	4297.0	2790.0	2299.0	2694.0	2288.0	3261.0	2838.0	2992.0	3224.0	2901.0	2572.0	2916.0	3124.0	2017.0	2514.0	2360.0	2266.0	2168.0	2515.0	3598.0	2969.0	2192.0	2475.0	2525.0	2568.0	8681.0	7760.0	3902.0	8941.0	5890.0	3770.0	3972.0	2621.0	3290.0	3278.0	3453.0	3773.0	2743.0	2940.0	3178.0	3824.0	3311.0	11406.0	4966.0	6697.0	6237.0	3241.0	4236.0	3064.0
Linoleic acid metabolism	0.0	0.0	0.0	0.0	1.0	7.0	7.0	0.0	7.0	4.0	13.0	5.0	37.0	8.0	20.0	5.0	19.0	10.0	19.0	16.0	6.0	12.0	7.0	3.0	11.0	7.0	31.0	10.0	8.0	15.0	19.0	120.0	35.0	13.0	5.0	1.0	2.0	0.0	0.0	2.0	1.0	4.0	4.0	2.0	0.0	18.0	0.0	193.0	44.0	0.0	7.0	3.0
Lipid biosynthesis proteins	42545.0	44895.0	45598.0	44974.0	24990.0	24787.0	26108.0	26753.0	28104.0	26630.0	18187.0	26093.0	23674.0	26053.0	23573.0	27505.0	22954.0	28209.0	29957.0	23809.0	25317.0	24770.0	22324.0	19354.0	25961.0	23594.0	35982.0	25592.0	8163.0	8295.0	11105.0	10207.0	11652.0	11629.0	7853.0	12061.0	9026.0	11939.0	10656.0	6964.0	9071.0	12705.0	10227.0	11462.0	12615.0	7800.0	9191.0	9869.0	9901.0	11754.0	12027.0	11004.0
Lipoarabinomannan (LAM) biosynthesis	5911.0	6285.0	5576.0	4162.0	5189.0	7148.0	8414.0	7321.0	5440.0	5690.0	4086.0	6376.0	6063.0	5170.0	7118.0	8046.0	6791.0	6591.0	4656.0	4935.0	7721.0	5523.0	6079.0	5375.0	7300.0	4252.0	11377.0	4701.0	3399.0	3334.0	4091.0	3484.0	4192.0	3317.0	9022.0	7464.0	7364.0	5898.0	5158.0	6722.0	7573.0	6878.0	6414.0	5843.0	7180.0	4531.0	3633.0	3845.0	5293.0	4988.0	4041.0	6018.0
Lipoic acid metabolism	9004.0	8626.0	14207.0	13122.0	17438.0	19423.0	19067.0	18032.0	14472.0	16010.0	13625.0	18227.0	14217.0	13476.0	16017.0	17395.0	21518.0	18307.0	20705.0	14420.0	21665.0	14522.0	17698.0	16903.0	25076.0	12869.0	22943.0	14635.0	14509.0	22836.0	10183.0	15659.0	8614.0	8339.0	18865.0	11990.0	14611.0	13602.0	21201.0	17709.0	15243.0	15027.0	17638.0	14636.0	16785.0	20122.0	8868.0	14349.0	12820.0	8510.0	9586.0	13235.0
Lipopolysaccharide biosynthesis	152596.0	148756.0	342592.0	295286.0	260209.0	263399.0	255899.0	285517.0	247169.0	242802.0	219068.0	242635.0	253729.0	290791.0	296746.0	243253.0	284922.0	262337.0	268624.0	340801.0	257715.0	363442.0	235913.0	204414.0	307037.0	354861.0	282574.0	346633.0	177834.0	165944.0	177239.0	161792.0	163491.0	187476.0	138172.0	160145.0	152279.0	148100.0	139966.0	169834.0	178111.0	135462.0	148378.0	132852.0	143080.0	183731.0	170659.0	165319.0	187603.0	207052.0	165250.0	134063.0
Lipopolysaccharide biosynthesis proteins	96936.0	93043.0	184939.0	136208.0	140332.0	128473.0	127241.0	134426.0	123911.0	126015.0	121982.0	120315.0	128108.0	160813.0	155855.0	122344.0	114508.0	113213.0	112882.0	147989.0	111786.0	164781.0	136529.0	116334.0	119055.0	157935.0	131562.0	160346.0	128669.0	124639.0	121999.0	133438.0	125058.0	129206.0	151861.0	155893.0	148079.0	140474.0	149162.0	160547.0	150866.0	147747.0	140943.0	150259.0	151191.0	144203.0	125714.0	131789.0	142213.0	135508.0	122326.0	154119.0
